Titlu,Autor,Topic,Temă,Tema1,Tema2,Tema3,Scor
cât de bine,anastasia_gavrilovici,4,mundane & daily life,interconnected structures,mundane & daily life,philosophical & ontological inquiry,50
ne-am ridicat de la masă puțin amețiți,anastasia_gavrilovici,0,identity & otherness,identity & otherness,love & intimacy,philosophical & ontological inquiry,100
e doar tristeţe,anastasia_gavrilovici,4,mundane & daily life,identity & otherness,love & intimacy,mundane & daily life,25
ce mai fac,anastasia_gavrilovici,3,self-referentiality (ars poetica),identity & otherness,mundane & daily life,interconnected structures,0
lucruri simple,anastasia_gavrilovici,3,self-referentiality (ars poetica),philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,0
ultima frontieră,anastasia_gavrilovici,4,mundane & daily life,love & intimacy,mundane & daily life,eco-consciousness,50
ultima matrioșkă,anastasia_gavrilovici,4,mundane & daily life,identity & otherness,mundane & daily life,digital realities & posthumanism,50
viețile altora,anastasia_gavrilovici,1,interconnected structures,interconnected structures,identity & otherness,love & intimacy,100
as_far_as_i_know_the_humans,marin_malaicu_hondrari,5,eco-consciousness,philosophical & ontological inquiry,identity & otherness,interconnected structures,0
the rainbowconnection,simona_popescu,3,self-referentiality (ars poetica),self-referentiality (ars poetica),interconnected structures,philosophical & ontological inquiry,100
1,adela_greceanu,3,self-referentiality (ars poetica),mundane & daily life,identity & otherness,interconnected structures,0
gîscă,adela_greceanu,5,eco-consciousness,self-referentiality (ars poetica),interconnected structures,philosophical & ontological inquiry,0
adila,adela_greceanu,5,eco-consciousness,self-referentiality (ars poetica),interconnected structures,identity & otherness,0
provinciala,adela_greceanu,6,digital realities & posthumanism,identity & otherness,self-referentiality (ars poetica),digital realities & posthumanism,25
adila în vacanță,adela_greceanu,6,digital realities & posthumanism,mundane & daily life,philosophical & ontological inquiry,identity & otherness,0
tartină. cvasinecunoscută. a gestiona o relaţie,adela_greceanu,5,eco-consciousness,self-referentiality (ars poetica),identity & otherness,love & intimacy,0
udo,adela_greceanu,1,interconnected structures,identity & otherness,love & intimacy,mundane & daily life,0
liniuțe și bastonașe,adela_greceanu,1,interconnected structures,identity & otherness,mundane & daily life,interconnected structures,25
"titlul volumului meu, care ma preocupa atat de mult",adela_greceanu,6,digital realities & posthumanism,philosophical & ontological inquiry,love & intimacy,digital realities & posthumanism,25
***,octavian_soviany,7,love & intimacy,love & intimacy,self-referentiality (ars poetica),identity & otherness,100
grădina de cafea,dan_coman,2,philosophical & ontological inquiry,identity & otherness,interconnected structures,philosophical & ontological inquiry,25
numai ea,dan_coman,5,eco-consciousness,philosophical & ontological inquiry,mundane & daily life,love & intimacy,0
o fată din moldova (o săsoaică),dan_coman,2,philosophical & ontological inquiry,love & intimacy,identity & otherness,interconnected structures,0
27,dan_coman,0,identity & otherness,love & intimacy,identity & otherness,interconnected structures,50
poem,dan_coman,6,digital realities & posthumanism,identity & otherness,interconnected structures,philosophical & ontological inquiry,0
iarba din hol,dan_coman,6,digital realities & posthumanism,love & intimacy,mundane & daily life,identity & otherness,0
plimbarea,dan_coman,4,mundane & daily life,love & intimacy,philosophical & ontological inquiry,identity & otherness,0
profesoara de literatură din noul val,dan_coman,0,identity & otherness,love & intimacy,identity & otherness,philosophical & ontological inquiry,50
teodora,dan_coman,0,identity & otherness,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,100
un om bun,dan_coman,2,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,50
poem de dragoste,dan_coman,3,self-referentiality (ars poetica),identity & otherness,love & intimacy,digital realities & posthumanism,0
vizită- necunoscuta,dan_coman,4,mundane & daily life,identity & otherness,love & intimacy,philosophical & ontological inquiry,0
un poem trimis lui radu vancu pe mess,dan_coman,2,philosophical & ontological inquiry,identity & otherness,mundane & daily life,philosophical & ontological inquiry,25
poem de dragoste (v2),dan_coman,1,interconnected structures,love & intimacy,mundane & daily life,identity & otherness,0
eu sînt cel ce nu sînt,dan_coman,5,eco-consciousness,love & intimacy,mundane & daily life,identity & otherness,0
narcisa,dan_coman,7,love & intimacy,mundane & daily life,identity & otherness,love & intimacy,25
pisica larisei,dan_coman,1,interconnected structures,mundane & daily life,identity & otherness,love & intimacy,0
degeţica,dan_coman,7,love & intimacy,love & intimacy,mundane & daily life,philosophical & ontological inquiry,100
vizită- magdalena,dan_coman,2,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,love & intimacy,50
începutul,dan_coman,7,love & intimacy,identity & otherness,philosophical & ontological inquiry,mundane & daily life,0
mesaje,dan_coman,3,self-referentiality (ars poetica),love & intimacy,mundane & daily life,philosophical & ontological inquiry,0
octombrie,dan_coman,4,mundane & daily life,identity & otherness,love & intimacy,philosophical & ontological inquiry,0
irezistibil,dan_coman,3,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,mundane & daily life,0
amintire de pe strada grigore bălan,dan_coman,3,self-referentiality (ars poetica),identity & otherness,love & intimacy,philosophical & ontological inquiry,0
poem de dimineață,dan_coman,3,self-referentiality (ars poetica),love & intimacy,identity & otherness,interconnected structures,0
poemul de noapte,dan_coman,0,identity & otherness,love & intimacy,identity & otherness,interconnected structures,50
alesul,dan_coman,7,love & intimacy,identity & otherness,mundane & daily life,philosophical & ontological inquiry,0
aniversarea,dan_coman,0,identity & otherness,identity & otherness,mundane & daily life,philosophical & ontological inquiry,100
în vremea nopţii,dan_coman,1,interconnected structures,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
plăcerea,dan_coman,7,love & intimacy,love & intimacy,identity & otherness,philosophical & ontological inquiry,100
strigătul,dan_coman,6,digital realities & posthumanism,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,25
"dragoste, îngenunchere",bogdan_o_popescu,2,philosophical & ontological inquiry,identity & otherness,mundane & daily life,love & intimacy,0
aer cald,bogdan_o_popescu,0,identity & otherness,identity & otherness,philosophical & ontological inquiry,love & intimacy,100
"înălţimi, adieri de tine",bogdan_o_popescu,1,interconnected structures,mundane & daily life,philosophical & ontological inquiry,love & intimacy,0
vignette,bogdan_o_popescu,2,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,love & intimacy,50
cu tine e altceva,svetlana_carstean,2,philosophical & ontological inquiry,identity & otherness,mundane & daily life,philosophical & ontological inquiry,25
no_title,svetlana_carstean,1,interconnected structures,identity & otherness,love & intimacy,philosophical & ontological inquiry,0
cîntec de trecere 3 sau carte poștală cu pui de taur. netrimisă de saintes-maries-de-la-mer,svetlana_carstean,3,self-referentiality (ars poetica),mundane & daily life,interconnected structures,eco-consciousness,0
in_a_world_made_of_stone,olga_stefan,2,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,mundane & daily life,50
beautiful_people_ugly_people,stefania_mihalache,7,love & intimacy,identity & otherness,love & intimacy,digital realities & posthumanism,50
manufacturing_fault,iv_cel_naiv,3,self-referentiality (ars poetica),self-referentiality (ars poetica),love & intimacy,identity & otherness,100
guilt,iv_cel_naiv,2,philosophical & ontological inquiry,love & intimacy,eco-consciousness,identity & otherness,0
for_reasons_of_survival,radu_vancu,3,self-referentiality (ars poetica),philosophical & ontological inquiry,mundane & daily life,identity & otherness,0
canto xiii,radu_vancu,5,eco-consciousness,mundane & daily life,philosophical & ontological inquiry,identity & marginalization,0
the_most_stupid_man,radu_vancu,2,philosophical & ontological inquiry,mundane & daily life,philosophical & ontological inquiry,love & intimacy,50
time_for_a_cigarette,ligia_parvulescu,6,digital realities & posthumanism,mundane & daily life,love & intimacy,self-referentiality (ars poetica),0
cintece excesive,dan_sociu,0,identity & otherness,philosophical & ontological inquiry,mundane & daily life,identity & otherness,25
toată iarna am aşteptat durerea mea anuală de dinţi,dan_sociu,5,eco-consciousness,mundane & daily life,digital realities & posthumanism,love & intimacy,0
11,dan_sociu,5,eco-consciousness,identity & otherness,mundane & daily life,interconnected structures,0
&2,dan_sociu,3,self-referentiality (ars poetica),identity & otherness,mundane & daily life,digital realities & posthumanism,0
1,dan_sociu,7,love & intimacy,identity & otherness,mundane & daily life,philosophical & ontological inquiry,0
beau pentru morţi,dan_sociu,7,love & intimacy,identity & otherness,mundane & daily life,philosophical & ontological inquiry,0
capul în mîini,dan_sociu,2,philosophical & ontological inquiry,philosophical & ontological inquiry,identity & otherness,mundane & daily life,100
salamandră,dan_sociu,7,love & intimacy,mundane & daily life,eco-consciousness,self-referentiality (ars poetica),0
cîntec excesiv ii,dan_sociu,7,love & intimacy,digital realities & posthumanism,love & intimacy,philosophical & ontological inquiry,50
n-am mai văzut un copil așa de vesel,dan_sociu,2,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,interconnected structures,50
&16,dan_sociu,1,interconnected structures,philosophical & ontological inquiry,interconnected structures,mundane & daily life,50
cîntec excesiv iii,dan_sociu,2,philosophical & ontological inquiry,identity & otherness,interconnected structures,self-referentiality (ars poetica),0
&3,dan_sociu,7,love & intimacy,digital realities & posthumanism,identity & otherness,interconnected structures,0
10,dan_sociu,7,love & intimacy,digital realities & posthumanism,identity & otherness,interconnected structures,0
vodcă sau vin,dan_sociu,7,love & intimacy,identity & otherness,digital realities & posthumanism,self-referentiality (ars poetica),0
ozone friendly,dan_sociu,7,love & intimacy,eco-consciousness,digital realities & posthumanism,identity & otherness,0
cîntec excesiv v,dan_sociu,3,self-referentiality (ars poetica),self-referentiality (ars poetica),identity & otherness,love & intimacy,100
&11,dan_sociu,7,love & intimacy,love & intimacy,identity & otherness,interconnected structures,100
&8,dan_sociu,7,love & intimacy,love & intimacy,identity & otherness,interconnected structures,100
pavor nocturn,dan_sociu,3,self-referentiality (ars poetica),love & intimacy,digital realities & posthumanism,identity & otherness,0
fata pe role,dan_sociu,7,love & intimacy,identity & otherness,philosophical & ontological inquiry,interconnected structures,0
fratele păduche,dan_sociu,7,love & intimacy,identity & otherness,interconnected structures,philosophical & ontological inquiry,0
&4,dan_sociu,2,philosophical & ontological inquiry,love & intimacy,identity & otherness,self-referentiality (ars poetica),0
7,dan_sociu,2,philosophical & ontological inquiry,love & intimacy,identity & otherness,interconnected structures,0
imagista de la urgenţă,dan_sociu,5,eco-consciousness,identity & otherness,interconnected structures,love & intimacy,0
6,dan_sociu,3,self-referentiality (ars poetica),identity & otherness,digital realities & posthumanism,love & intimacy,0
&5,dan_sociu,6,digital realities & posthumanism,philosophical & ontological inquiry,mundane & daily life,identity & otherness,0
shanghai truelove ltd.,dan_sociu,4,mundane & daily life,interconnected structures,philosophical & ontological inquiry,mundane & daily life,25
16,dan_sociu,7,love & intimacy,philosophical & ontological inquiry,interconnected structures,eco-consciousness,0
cîntec excesiv iv,dan_sociu,1,interconnected structures,mundane & daily life,digital realities & posthumanism,love & intimacy,0
cîntec excesiv i,dan_sociu,2,philosophical & ontological inquiry,love & intimacy,identity & otherness,interconnected structures,0
&9,dan_sociu,1,interconnected structures,love & intimacy,mundane & daily life,identity & otherness,0
&10,dan_sociu,0,identity & otherness,love & intimacy,mundane & daily life,identity & otherness,25
johnnie walker,dan_sociu,2,philosophical & ontological inquiry,mundane & daily life,identity & otherness,philosophical & ontological inquiry,25
9,dan_sociu,3,self-referentiality (ars poetica),love & intimacy,identity & otherness,mundane & daily life,0
&13,dan_sociu,0,identity & otherness,love & intimacy,identity & otherness,philosophical & ontological inquiry,50
tehnica anti-climaxului,dan_sociu,5,eco-consciousness,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
5,dan_sociu,7,love & intimacy,love & intimacy,self-referentiality (ars poetica),identity & otherness,100
&6,dan_sociu,7,love & intimacy,identity & otherness,philosophical & ontological inquiry,love & intimacy,25
15,dan_sociu,2,philosophical & ontological inquiry,identity & otherness,eco-consciousness,mundane & daily life,0
traista mihaelei,dan_sociu,2,philosophical & ontological inquiry,identity & otherness,love & intimacy,mundane & daily life,0
14,dan_sociu,7,love & intimacy,identity & otherness,philosophical & ontological inquiry,interconnected structures,0
&7,dan_sociu,7,love & intimacy,identity & otherness,philosophical & ontological inquiry,love & intimacy,25
4,dan_sociu,5,eco-consciousness,love & intimacy,identity & otherness,mundane & daily life,0
&12,dan_sociu,6,digital realities & posthumanism,mundane & daily life,love & intimacy,identity & otherness,0
ești atât de frumoasă după ce am mîncat,dan_sociu,6,digital realities & posthumanism,love & intimacy,identity & otherness,mundane & daily life,0
8,dan_sociu,7,love & intimacy,mundane & daily life,interconnected structures,self-referentiality (ars poetica),0
ce trist și frumos e cînd omul se,dan_sociu,2,philosophical & ontological inquiry,philosophical & ontological inquiry,interconnected structures,mundane & daily life,100
3,dan_sociu,7,love & intimacy,identity & otherness,philosophical & ontological inquiry,interconnected structures,0
rapsodiaromână,dan_sociu,5,eco-consciousness,identity & otherness,philosophical & ontological inquiry,interconnected structures,0
13,dan_sociu,7,love & intimacy,philosophical & ontological inquiry,interconnected structures,eco-consciousness,0
&,dan_sociu,5,eco-consciousness,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
dragostea ta,dan_sociu,5,eco-consciousness,love & intimacy,identity & otherness,philosophical & ontological inquiry,0
nu. o poveste de succes,dan_sociu,2,philosophical & ontological inquiry,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,50
&15,dan_sociu,7,love & intimacy,love & intimacy,identity & otherness,philosophical & ontological inquiry,100
&14,dan_sociu,3,self-referentiality (ars poetica),identity & otherness,philosophical & ontological inquiry,love & intimacy,0
conserve bine închise  borcane bine legate  bani pentru încă o săptămînă,dan_sociu,7,love & intimacy,philosophical & ontological inquiry,identity & otherness,love & intimacy,25
cu gura uscata de ură,dan_sociu,7,love & intimacy,philosophical & ontological inquiry,identity & otherness,love & intimacy,25
12,dan_sociu,0,identity & otherness,philosophical & ontological inquiry,identity & otherness,love & intimacy,50
2,dan_sociu,7,love & intimacy,identity & otherness,love & intimacy,interconnected structures,50
11,ana_dontu,5,eco-consciousness,identity & otherness,love & intimacy,philosophical & ontological inquiry,0
1,ana_dontu,3,self-referentiality (ars poetica),love & intimacy,identity & otherness,interconnected structures,0
"nici tu, nici eu și nici măcar ghandy",ana_dontu,6,digital realities & posthumanism,philosophical & ontological inquiry,love & intimacy,identity & otherness,0
nechezatul debilitatea nonsensul,ana_dontu,0,identity & otherness,identity & otherness,philosophical & ontological inquiry,interconnected structures,100
10,ana_dontu,2,philosophical & ontological inquiry,mundane & daily life,love & intimacy,interconnected structures,0
pereții există pentru a strivi ceva între ei,ana_dontu,2,philosophical & ontological inquiry,identity & otherness,mundane & daily life,interconnected structures,0
spui- totul a fost bine,ana_dontu,7,love & intimacy,identity & otherness,digital realities & posthumanism,philosophical & ontological inquiry,0
vopsea neagră pentru lotuși albi,ana_dontu,4,mundane & daily life,identity & otherness,love & intimacy,philosophical & ontological inquiry,0
ai inima slabă,ana_dontu,4,mundane & daily life,identity & otherness,love & intimacy,philosophical & ontological inquiry,0
așa se pășește peste linie,ana_dontu,7,love & intimacy,love & intimacy,identity & otherness,digital realities & posthumanism,100
orașul în care mă trezesc,ana_dontu,0,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,interconnected structures,0
morcov și ceapă,ana_dontu,2,philosophical & ontological inquiry,philosophical & ontological inquiry,identity & otherness,love & intimacy,100
7,ana_dontu,0,identity & otherness,identity & otherness,mundane & daily life,philosophical & ontological inquiry,100
6,ana_dontu,0,identity & otherness,philosophical & ontological inquiry,mundane & daily life,love & intimacy,0
9,ana_dontu,0,identity & otherness,philosophical & ontological inquiry,mundane & daily life,identity & otherness,25
luna se scaldă în alte ape,ana_dontu,6,digital realities & posthumanism,philosophical & ontological inquiry,interconnected structures,identity & otherness,0
cadrul 25,ana_dontu,0,identity & otherness,philosophical & ontological inquiry,interconnected structures,identity & otherness,25
5,ana_dontu,5,eco-consciousness,love & intimacy,philosophical & ontological inquiry,identity & otherness,0
4,ana_dontu,6,digital realities & posthumanism,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,25
mă trezesc în orașul fantomelor,ana_dontu,5,eco-consciousness,identity & otherness,philosophical & ontological inquiry,eco-consciousness,25
8,ana_dontu,1,interconnected structures,identity & otherness,philosophical & ontological inquiry,interconnected structures,25
dincolo de pereți,ana_dontu,0,identity & otherness,identity & otherness,philosophical & ontological inquiry,interconnected structures,100
3,ana_dontu,5,eco-consciousness,identity & otherness,philosophical & ontological inquiry,interconnected structures,0
toată liniștea,ana_dontu,5,eco-consciousness,philosophical & ontological inquiry,interconnected structures,identity & otherness,0
sunt lucrul ce umblă în întuneric,ana_dontu,1,interconnected structures,philosophical & ontological inquiry,interconnected structures,identity & otherness,50
2,ana_dontu,1,interconnected structures,digital realities & posthumanism,philosophical & ontological inquiry,interconnected structures,25
dincolo de linia galbenă,ana_dontu,1,interconnected structures,philosophical & ontological inquiry,love & intimacy,identity & otherness,0
my_favourites,robert_serban,4,mundane & daily life,identity & otherness,digital realities & posthumanism,philosophical & ontological inquiry,0
septembrie,nina_cassian,1,interconnected structures,philosophical & ontological inquiry,identity & otherness,love & intimacy,0
și la revedere,andrei_dosa,0,identity & otherness,mundane & daily life,digital realities & posthumanism,identity & otherness,25
vis cu anima,andrei_dosa,0,identity & otherness,interconnected structures,identity & otherness,philosophical & ontological inquiry,50
gyere!,andrei_dosa,6,digital realities & posthumanism,digital realities & posthumanism,love & intimacy,identity & otherness,100
monstrul sacru al scobitului în nas,andrei_dosa,1,interconnected structures,eco-consciousness,philosophical & ontological inquiry,digital realities & posthumanism,0
uşa rotativă (1),andrei_dosa,2,philosophical & ontological inquiry,interconnected structures,philosophical & ontological inquiry,self-referentiality (ars poetica),50
dublă expunere,andrei_dosa,2,philosophical & ontological inquiry,self-referentiality (ars poetica),mundane & daily life,digital realities & posthumanism,0
online,andrei_dosa,1,interconnected structures,eco-consciousness,philosophical & ontological inquiry,digital realities & posthumanism,0
cântec de adormit copiii,andrei_dosa,2,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,mundane & daily life,0
film documentar,andrei_dosa,1,interconnected structures,eco-consciousness,interconnected structures,philosophical & ontological inquiry,50
aici arborele vieţii este tufa de bumbac (în drum spre casă),andrei_dosa,7,love & intimacy,love & intimacy,digital realities & posthumanism,identity & otherness,100
fără nicio legătură,andrei_dosa,1,interconnected structures,digital realities & posthumanism,mundane & daily life,interconnected structures,25
hubble-bubble,andrei_dosa,2,philosophical & ontological inquiry,identity & otherness,interconnected structures,digital realities & posthumanism,0
exerciţii de respiraţie (2),andrei_dosa,6,digital realities & posthumanism,eco-consciousness,interconnected structures,digital realities & posthumanism,25
fake din viscere,andrei_dosa,1,interconnected structures,digital realities & posthumanism,identity & otherness,mundane & daily life,0
apusuri mexicane,andrei_dosa,4,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,25
îmi este atât de ruşine,andrei_dosa,4,mundane & daily life,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,0
gogoașa înfuriată,andrei_dosa,0,identity & otherness,digital realities & posthumanism,identity & otherness,mundane & daily life,50
nada,andrei_dosa,5,eco-consciousness,love & intimacy,digital realities & posthumanism,identity & otherness,0
creepy eco,andrei_dosa,5,eco-consciousness,digital realities & posthumanism,identity & otherness,mundane & daily life,0
[time [muie [www,andrei_dosa,0,identity & otherness,digital realities & posthumanism,identity & otherness,eco-consciousness,50
adoraţie,andrei_dosa,0,identity & otherness,identity & otherness,mundane & daily life,eco-consciousness,100
canon d40,andrei_dosa,1,interconnected structures,identity & otherness,interconnected structures,mundane & daily life,50
moartea foloseşte gillette,andrei_dosa,6,digital realities & posthumanism,digital realities & posthumanism,identity & otherness,mundane & daily life,100
tristeţe şi duioşie la etajul patru,andrei_dosa,7,love & intimacy,digital realities & posthumanism,identity & otherness,mundane & daily life,0
nimeni nu ştie,andrei_dosa,0,identity & otherness,love & intimacy,digital realities & posthumanism,identity & otherness,25
retractil: repetitiv,andrei_dosa,7,love & intimacy,digital realities & posthumanism,identity & otherness,mundane & daily life,0
o zi din viaţa familiei d.,andrei_dosa,1,interconnected structures,eco-consciousness,digital realities & posthumanism,identity & otherness,0
face el suficientă poezie,andrei_dosa,0,identity & otherness,identity & otherness,eco-consciousness,digital realities & posthumanism,100
face el suficientă poezie,andrei_dosa,0,identity & otherness,identity & otherness,eco-consciousness,digital realities & posthumanism,100
uşa rotativă (2),andrei_dosa,3,self-referentiality (ars poetica),digital realities & posthumanism,identity & otherness,mundane & daily life,0
cu mâinile legate,andrei_dosa,7,love & intimacy,digital realities & posthumanism,identity & otherness,eco-consciousness,0
lucrurile părinţilor,andrei_dosa,0,identity & otherness,philosophical & ontological inquiry,eco-consciousness,digital realities & posthumanism,0
exerciţii de respiraţie (1),andrei_dosa,7,love & intimacy,identity & otherness,eco-consciousness,digital realities & posthumanism,0
e nevoie de ceva mult mai violent,andrei_dosa,7,love & intimacy,identity & otherness,mundane & daily life,eco-consciousness,0
principiul ordonator,andrei_dosa,0,identity & otherness,digital realities & posthumanism,identity & otherness,mundane & daily life,50
filtru vegetal,andrei_dosa,1,interconnected structures,interconnected structures,philosophical & ontological inquiry,digital realities & posthumanism,100
din ce în ce mai,andrei_dosa,0,identity & otherness,digital realities & posthumanism,identity & otherness,mundane & daily life,50
"când va veni ceea ce este desăvârşit, ceea ce este în parte va dispărea",andrei_dosa,1,interconnected structures,eco-consciousness,identity & otherness,interconnected structures,25
jingfan,andrei_dosa,0,identity & otherness,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,100
într-un sul de linoleum,andrei_dosa,4,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,25
preview,andrei_dosa,0,identity & otherness,digital realities & posthumanism,identity & otherness,eco-consciousness,50
yin-yang,andrei_dosa,7,love & intimacy,digital realities & posthumanism,identity & otherness,mundane & daily life,0
urma să rezolv totul în seara aia,andrei_dosa,2,philosophical & ontological inquiry,mundane & daily life,eco-consciousness,interconnected structures,0
legătura părintească,andrei_dosa,2,philosophical & ontological inquiry,interconnected structures,digital realities & posthumanism,identity & otherness,0
pe loc,andrei_dosa,2,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,mundane & daily life,0
unul dintre eşecurile memorabile ale aeronauticii,andrei_dosa,1,interconnected structures,digital realities & posthumanism,identity & otherness,mundane & daily life,0
@,andrei_dosa,1,interconnected structures,identity & otherness,mundane & daily life,interconnected structures,25
fondantul,andrei_dosa,4,mundane & daily life,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,0
pe urmele tale,andrei_dosa,6,digital realities & posthumanism,digital realities & posthumanism,identity & otherness,mundane & daily life,100
parapantiştii săreau în gol,andrei_dosa,1,interconnected structures,digital realities & posthumanism,identity & otherness,mundane & daily life,0
flutură steaguri purpuriu închis,andrei_dosa,5,eco-consciousness,digital realities & posthumanism,identity & otherness,mundane & daily life,0
din tată în fiu,andrei_dosa,1,interconnected structures,identity & otherness,mundane & daily life,eco-consciousness,0
atât de fain (so fine),andrei_dosa,7,love & intimacy,digital realities & posthumanism,identity & otherness,eco-consciousness,0
stroboscopie,andrei_dosa,2,philosophical & ontological inquiry,digital realities & posthumanism,identity & otherness,mundane & daily life,0
aşa cum îmi place mie să fii,andrei_dosa,2,philosophical & ontological inquiry,interconnected structures,digital realities & posthumanism,identity & otherness,0
reconversie profesională,andrei_dosa,4,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,25
sânge din sângele lor,andrei_dosa,1,interconnected structures,digital realities & posthumanism,identity & otherness,mundane & daily life,0
revers,andrei_dosa,7,love & intimacy,digital realities & posthumanism,identity & otherness,mundane & daily life,0
splendoare în iarbă,andrei_dosa,7,love & intimacy,eco-consciousness,digital realities & posthumanism,philosophical & ontological inquiry,0
loading… please wait,andrei_dosa,1,interconnected structures,interconnected structures,philosophical & ontological inquiry,identity & otherness,100
o seară cu familia d.,andrei_dosa,0,identity & otherness,identity & otherness,mundane & daily life,interconnected structures,100
we all live in a russian submarine,andrei_dosa,1,interconnected structures,digital realities & posthumanism,interconnected structures,identity & otherness,50
compoziţie cu nuanţe de negru,andrei_dosa,1,interconnected structures,identity & otherness,mundane & daily life,eco-consciousness,0
o dimineaţă de milioane,andrei_dosa,1,interconnected structures,interconnected structures,identity & otherness,eco-consciousness,100
eşti bun la marocco?,andrei_dosa,3,self-referentiality (ars poetica),identity & otherness,mundane & daily life,interconnected structures,0
leidenschaft,andrei_dosa,2,philosophical & ontological inquiry,philosophical & ontological inquiry,eco-consciousness,digital realities & posthumanism,100
noua ordina mondială,andrei_dosa,4,mundane & daily life,digital realities & posthumanism,identity & otherness,mundane & daily life,25
a.z.i.,andrei_dosa,5,eco-consciousness,identity & otherness,philosophical & ontological inquiry,digital realities & posthumanism,0
crăciunul în bucătăria inundată,andrei_dosa,0,identity & otherness,eco-consciousness,philosophical & ontological inquiry,digital realities & posthumanism,0
face el suficientă poezie,andrei_dosa,0,identity & otherness,identity & otherness,eco-consciousness,digital realities & posthumanism,100
face el suficientă poezie,andrei_dosa,0,identity & otherness,identity & otherness,eco-consciousness,digital realities & posthumanism,100
dumnezeu s-a născut în america şi a uitat sufletele într-un lagăr comunist,andrei_dosa,2,philosophical & ontological inquiry,interconnected structures,philosophical & ontological inquiry,identity & otherness,50
nu ştiai ce te aşteaptă,andrei_dosa,1,interconnected structures,digital realities & posthumanism,identity & otherness,mundane & daily life,0
sokosoko muzukashii,andrei_dosa,6,digital realities & posthumanism,eco-consciousness,philosophical & ontological inquiry,digital realities & posthumanism,25
