Titlu,Autor,Topic
ozone friendly,dan_sociu,7
Cîntec eXcesiv V,dan_sociu,3
&11,dan_sociu,7
&8,dan_sociu,7
Pavor nocturn,dan_sociu,3
Fata pe role,dan_sociu,7
fratele păduche,dan_sociu,7
&4,dan_sociu,2
7,dan_sociu,2
Imagista de la Urgenţă,dan_sociu,5
6,dan_sociu,3
&5,dan_sociu,6
shanghai truelove ltd.,dan_sociu,4
16,dan_sociu,7
Cîntec eXcesiv IV,dan_sociu,1
Cîntec eXcesiv I,dan_sociu,2
&9,dan_sociu,1
&10,dan_sociu,0
johnnie walker,dan_sociu,2
9,dan_sociu,3
&13,dan_sociu,0
tehnica anti-climaxului,dan_sociu,5
5,dan_sociu,7
&6,dan_sociu,7
15,dan_sociu,2
traista Mihaelei,dan_sociu,2
14,dan_sociu,7
&7,dan_sociu,7
4,dan_sociu,5
&12,dan_sociu,6
Ești atât de frumoasă după ce am mîncat,dan_sociu,6
8,dan_sociu,7
Ce trist și frumos e cînd omul se,dan_sociu,2
3,dan_sociu,7
rapsodiaromână,dan_sociu,5
13,dan_sociu,7
&,dan_sociu,5
dragostea ta,dan_sociu,5
Nu. O poveste de succes,dan_sociu,2
&15,dan_sociu,7
&14,dan_sociu,3
conserve bine închise  borcane bine legate  bani pentru încă o săptămînă,dan_sociu,7
cu gura uscata de ură,dan_sociu,7
12,dan_sociu,0
2,dan_sociu,7
11,ana_dontu,5
1,ana_dontu,3
"nici tu, nici eu și nici măcar Ghandy",ana_dontu,6
Nechezatul debilitatea nonsensul,ana_dontu,0
10,ana_dontu,2
pereții există pentru a strivi ceva între ei,ana_dontu,2
spui- totul a fost bine,ana_dontu,7
Vopsea neagră pentru lotuși albi,ana_dontu,4
ai inima slabă,ana_dontu,4
așa se pășește peste linie,ana_dontu,7
orașul în care mă trezesc,ana_dontu,0
morcov și ceapă,ana_dontu,2
7,ana_dontu,0
6,ana_dontu,0
9,ana_dontu,0
luna se scaldă în alte ape,ana_dontu,6
Cadrul 25,ana_dontu,0
5,ana_dontu,5
4,ana_dontu,6
mă trezesc în orașul fantomelor,ana_dontu,5
8,ana_dontu,1
dincolo de pereți,ana_dontu,0
3,ana_dontu,5
toată liniștea,ana_dontu,5
sunt lucrul ce umblă în întuneric,ana_dontu,1
2,ana_dontu,1
dincolo de linia galbenă,ana_dontu,1
my_favourites,robert_serban,4
septembrie,nina_cassian,1
și la revedere,andrei_dosa,0
Vis cu anima,andrei_dosa,0
gyere!,andrei_dosa,6
Monstrul sacru al scobitului în nas,andrei_dosa,1
Uşa rotativă (1),andrei_dosa,2
dublă expunere,andrei_dosa,2
online,andrei_dosa,1
cântec de adormit copiii,andrei_dosa,2
film documentar,andrei_dosa,1
aici arborele vieţii este tufa de bumbac (în drum spre casă),andrei_dosa,7
fără nicio legătură,andrei_dosa,1
hubble-bubble,andrei_dosa,2
Exerciţii de respiraţie (2),andrei_dosa,6
Fake din viscere,andrei_dosa,1
apusuri mexicane,andrei_dosa,4
Îmi este atât de ruşine,andrei_dosa,4
gogoașa înfuriată,andrei_dosa,0
Nada,andrei_dosa,5
creepy eco,andrei_dosa,5
[time [muie [www,andrei_dosa,0
Adoraţie,andrei_dosa,0
canon D40,andrei_dosa,1
moartea foloseşte gillette,andrei_dosa,6
tristeţe şi duioşie la etajul patru,andrei_dosa,7
Nimeni nu ştie,andrei_dosa,0
retractil: repetitiv,andrei_dosa,7
O zi din viaţa familiei D.,andrei_dosa,1
face el suficientă poezie ,andrei_dosa,0
Uşa rotativă (2),andrei_dosa,3
Cu mâinile legate,andrei_dosa,7
Lucrurile părinţilor,andrei_dosa,0
Exerciţii de respiraţie (1),andrei_dosa,7
e nevoie de ceva mult mai violent,andrei_dosa,7
principiul ordonator,andrei_dosa,0
filtru vegetal,andrei_dosa,1
din ce în ce mai,andrei_dosa,0
"când va veni ceea ce este desăvârşit, ceea ce este în parte va dispărea",andrei_dosa,1
jingfan,andrei_dosa,0
într-un sul de linoleum,andrei_dosa,4
preview,andrei_dosa,0
yin-yang,andrei_dosa,7
urma să rezolv totul în seara aia,andrei_dosa,2
legătura părintească,andrei_dosa,2
pe loc,andrei_dosa,2
unul dintre eşecurile memorabile ale aeronauticii,andrei_dosa,1
@,andrei_dosa,1
fondantul,andrei_dosa,4
pe urmele tale,andrei_dosa,6
parapantiştii săreau în gol,andrei_dosa,1
flutură steaguri purpuriu închis,andrei_dosa,5
Din tată în fiu,andrei_dosa,1
atât de fain (so fine),andrei_dosa,7
stroboscopie,andrei_dosa,2
aşa cum îmi place mie să fii,andrei_dosa,2
reconversie profesională,andrei_dosa,4
sânge din sângele lor,andrei_dosa,1
revers,andrei_dosa,7
splendoare în iarbă,andrei_dosa,7
loading… please wait,andrei_dosa,1
O seară cu familia D.,andrei_dosa,0
We all live in a russian submarine,andrei_dosa,1
compoziţie cu nuanţe de negru,andrei_dosa,1
o dimineaţă de milioane,andrei_dosa,1
Eşti bun la Marocco?,andrei_dosa,3
Leidenschaft,andrei_dosa,2
noua ordina mondială,andrei_dosa,4
a.z.i.,andrei_dosa,5
crăciunul în bucătăria inundată,andrei_dosa,0
face el suficientă poezie,andrei_dosa,0
dumnezeu s-a născut în america şi a uitat sufletele într-un lagăr comunist,andrei_dosa,2
nu ştiai ce te aşteaptă,andrei_dosa,1
sokosoko muzukashii,andrei_dosa,6
dacă vii de pe altă planetă invidia ta e inutilă,andrei_dosa,3
Acalmie,andrei_dosa,6
Euforia sufocării,andrei_dosa,2
despre combaterea efectului de seră,andrei_dosa,1
eram cu mama când a căzut,andrei_dosa,7
II,teodora_coman,3
Sagrada Familia,andrei_mocuta,2
2029,andrei_mocuta,1
Capsula timpului,andrei_mocuta,3
O lansare de carte,andrei_mocuta,5
Trăiesc de trei ani cu o fantomă,andrei_mocuta,3
Esențialul,andrei_mocuta,1
Muzeul figurilor de ceară,andrei_mocuta,0
Cosmin Lungu,andrei_mocuta,2
Homer,andrei_mocuta,3
2065,andrei_mocuta,2
Odă Reginei Estera de pe capota Cadillacului,andrei_mocuta,5
2028,andrei_mocuta,1
Abalo,andrei_mocuta,0
Maşina de tuns iarba,andrei_mocuta,2
Poem corect politic,andrei_mocuta,7
2043,andrei_mocuta,3
Femei între două vârste,andrei_mocuta,7
Număr de înmatriculare,andrei_mocuta,2
Fotbal şi poezie,andrei_mocuta,2
Blanca,andrei_mocuta,2
Două inimi,andrei_mocuta,0
Ce rămâne,andrei_mocuta,2
Ziua cărţii,andrei_mocuta,1
2020,andrei_mocuta,7
Un poem pe-o cravată nouă,andrei_mocuta,3
Lungul nasului,andrei_mocuta,7
Rezistenţa pe hârtie,andrei_mocuta,1
2046,andrei_mocuta,2
Café de Flore,andrei_mocuta,3
Un destin mai fericit,andrei_mocuta,5
Poem în duet,andrei_mocuta,2
Aye,andrei_mocuta,2
"Pis, pis, pis",andrei_mocuta,5
2027,andrei_mocuta,3
2066,andrei_mocuta,6
2031,andrei_mocuta,1
2030,andrei_mocuta,3
2026,andrei_mocuta,1
Teatrul dintre lumi,andrei_mocuta,2
Antonio Gaudi,andrei_mocuta,0
XL,andrei_mocuta,2
Scurt schimb de priviri cu o catalană,andrei_mocuta,5
